Category,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
MAINTENANCE,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",66,592,65,591,1,Na
MAINTENANCE,Control and valve installers and repairers,23,Na,23,Na,0,Na
MAINTENANCE,"Heating, air conditioning, and refrigeration mechanics and installers",341,806,337,810,4,Na
MAINTENANCE,Home appliance repairers,36,Na,36,Na,0,Na
MAINTENANCE,Industrial and refractory machinery mechanics,394,895,383,894,11,Na
MAINTENANCE,"Maintenance and repair workers, general",469,773,459,771,10,Na
MAINTENANCE,"Maintenance workers, machinery",31,Na,30,Na,1,Na
MAINTENANCE,Millwrights,49,Na,48,Na,1,Na
MAINTENANCE,Electrical power-line installers and repairers,113,1105,112,1105,0,Na
MAINTENANCE,Telecommunications line installers and repairers,157,882,148,880,9,Na
MAINTENANCE,Precision instrument and equipment repairers,64,996,60,1009,4,Na
MAINTENANCE,Wind turbine service technicians,3,Na,3,Na,0,Na
MAINTENANCE,"Coin, vending, and amusement machine servicers and repairers",38,Na,34,Na,4,Na
MAINTENANCE,Commercial divers,1,Na,1,Na,0,Na
MAINTENANCE,Locksmiths and safe repairers,12,Na,12,Na,0,Na
MAINTENANCE,Manufactured building and mobile home installers,4,Na,4,Na,1,Na
MAINTENANCE,Riggers,7,Na,7,Na,0,Na
MAINTENANCE,Signal and track switch repairers,9,Na,9,Na,0,Na
MAINTENANCE,"Helpers--installation, maintenance, and repair workers",17,Na,17,Na,0,Na
MAINTENANCE,"Other installation, maintenance, and repair workers",150,792,144,810,6,Na
PRODUCTION,First-line supervisors of production and operating workers,783,875,650,924,133,623
PRODUCTION,"Aircraft structure, surfaces, rigging, and systems assemblers",15,Na,11,Na,4,Na
PRODUCTION,"Electrical, electronics, and electromechanical assemblers",123,554,59,566,64,544
PRODUCTION,Engine and other machine assemblers,14,Na,12,Na,2,Na
PRODUCTION,Structural metal fabricators and fitters,31,Na,28,Na,3,Na
PRODUCTION,Miscellaneous assemblers and fabricators,950,581,573,637,377,512
PRODUCTION,Bakers,150,505,69,570,80,475
PRODUCTION,"Butchers and other meat, poultry, and fish processing workers",247,542,187,582,60,463
PRODUCTION,"Food and tobacco roasting, baking, and drying machine operators and tenders",9,Na,7,Na,1,Na
PRODUCTION,Food batchmakers,79,500,25,Na,54,489
PRODUCTION,Food cooking machine operators and tenders,7,Na,5,Na,2,Na
PRODUCTION,"Food processing workers, all other",132,594,82,679,50,508
PRODUCTION,Computer control programmers and operators,83,833,81,857,2,Na
PRODUCTION,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",8,Na,7,Na,1,Na
PRODUCTION,"Forging machine setters, operators, and tenders, metal and plastic",6,Na,6,Na,0,Na
PRODUCTION,"Rolling machine setters, operators, and tenders, metal and plastic",15,Na,12,Na,3,Na
PRODUCTION,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",78,633,62,674,15,Na
PRODUCTION,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5,Na,5,Na,1,Na
PRODUCTION,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Na,39,Na,3,Na
PRODUCTION,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",12,Na,11,Na,1,Na
PRODUCTION,"Milling and planing machine setters, operators, and tenders, metal and plastic",1,Na,1,Na,0,Na
PRODUCTION,Machinists,338,834,320,840,17,Na
PRODUCTION,"Metal furnace operators, tenders, pourers, and casters",29,Na,28,Na,1,Na
PRODUCTION,"Model makers and patternmakers, metal and plastic",6,Na,3,Na,3,Na
PRODUCTION,"Molders and molding machine setters, operators, and tenders, metal and plastic",47,Na,39,Na,9,Na
PRODUCTION,"Multiple machine tool setters, operators, and tenders, metal and plastic",1,Na,1,Na,0,Na
PRODUCTION,Tool and die makers,49,Na,49,Na,0,Na
PRODUCTION,"Welding, soldering, and brazing workers",568,760,545,767,23,Na
PRODUCTION,"Heat treating equipment setters, operators, and tenders, metal and plastic",4,Na,4,Na,0,Na
PRODUCTION,"Layout workers, metal and plastic",4,Na,4,Na,1,Na
PRODUCTION,"Plating and coating machine setters, operators, and tenders, metal and plastic",24,Na,24,Na,0,Na
PRODUCTION,"Tool grinders, filers, and sharpeners",7,Na,7,Na,0,Na
PRODUCTION,"Metal workers and plastic workers, all other",351,639,278,678,72,581
PRODUCTION,Prepress technicians and workers,14,Na,12,Na,2,Na
PRODUCTION,Printing press operators,160,707,134,729,26,Na
PRODUCTION,Print binding and finishing workers,16,Na,9,Na,6,Na
PRODUCTION,Laundry and dry-cleaning workers,133,466,53,487,80,460
PRODUCTION,"Pressers, textile, garment, and related materials",21,Na,9,Na,12,Na
PRODUCTION,Sewing machine operators,147,493,42,Na,105,476
PRODUCTION,Shoe and leather workers and repairers,5,Na,4,Na,1,Na
PRODUCTION,Shoe machine operators and tenders,1,Na,0,Na,1,Na
PRODUCTION,"Tailors, dressmakers, and sewers",37,Na,9,Na,27,Na
PRODUCTION,Textile bleaching and dyeing machine operators and tenders,2,Na,2,Na,0,Na
PRODUCTION,"Textile cutting machine setters, operators, and tenders",9,Na,7,Na,2,Na
PRODUCTION,"Textile knitting and weaving machine setters, operators, and tenders",8,Na,3,Na,4,Na
PRODUCTION,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",7,Na,5,Na,2,Na
PRODUCTION,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,Na,0,Na,0,Na
PRODUCTION,Fabric and apparel patternmakers,4,Na,3,Na,1,Na
PRODUCTION,Upholsterers,29,Na,21,Na,7,Na
PRODUCTION,"Textile, apparel, and furnishings workers, all other",16,Na,12,Na,4,Na
PRODUCTION,Cabinetmakers and bench carpenters,40,Na,38,Na,2,Na
PRODUCTION,Furniture finishers,6,Na,6,Na,0,Na
PRODUCTION,"Model makers and patternmakers, wood",0,Na,0,Na,0,Na
PRODUCTION,"Sawing machine setters, operators, and tenders, wood",26,Na,22,Na,4,Na
PRODUCTION,"Woodworking machine setters, operators, and tenders, except sawing",23,Na,21,Na,1,Na
PRODUCTION,"Woodworkers, all other",17,Na,14,Na,3,Na
PRODUCTION,"Power plant operators, distributors, and dispatchers",35,Na,34,Na,1,Na
PRODUCTION,Stationary engineers and boiler operators,84,996,81,1012,3,Na
PRODUCTION,Water and wastewater treatment plant and system operators,82,880,79,868,3,Na
PRODUCTION,Miscellaneous plant and system operators,35,Na,33,Na,3,Na
PRODUCTION,"Chemical processing machine setters, operators, and tenders",62,1052,57,1082,5,Na
PRODUCTION,"Crushing, grinding, polishing, mixing, and blending workers",82,652,75,668,7,Na
PRODUCTION,Cutting workers,51,685,41,Na,9,Na
PRODUCTION,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",31,Na,25,Na,6,Na
PRODUCTION,"Furnace, kiln, oven, drier, and kettle operators and tenders",6,Na,5,Na,0,Na
PRODUCTION,"Inspectors, testers, sorters, samplers, and weighers",701,710,440,844,260,583
PRODUCTION,Jewelers and precious stone and metal workers,19,Na,11,Na,7,Na
PRODUCTION,"Medical, dental, and ophthalmic laboratory technicians",86,648,44,Na,42,Na
PRODUCTION,Packaging and filling machine operators and tenders,239,518,118,605,120,482
PRODUCTION,Painting workers,129,708,110,733,18,Na
PRODUCTION,Photographic process workers and processing machine operators,26,Na,12,Na,14,Na
PRODUCTION,Semiconductor processors,1,Na,1,Na,0,Na
PRODUCTION,Adhesive bonding machine operators and tenders,9,Na,5,Na,4,Na
PRODUCTION,"Cleaning, washing, and metal pickling equipment operators and tenders",4,Na,2,Na,1,Na
PRODUCTION,Cooling and freezing equipment operators and tenders,4,Na,3,Na,0,Na
PRODUCTION,Etchers and engravers,12,Na,8,Na,4,Na
PRODUCTION,"Molders, shapers, and casters, except metal and plastic",14,Na,12,Na,2,Na
PRODUCTION,"Paper goods machine setters, operators, and tenders",27,Na,22,Na,5,Na
PRODUCTION,Tire builders,8,Na,8,Na,0,Na
PRODUCTION,Helpers--production workers,24,Na,18,Na,7,Na
PRODUCTION,"Production workers, all other",846,625,643,666,203,501
TRANSPORTATION,Supervisors of transportation and material moving workers,186,894,153,898,33,Na
TRANSPORTATION,Aircraft pilots and flight engineers,114,1735,104,1830,9,Na
TRANSPORTATION,Air traffic controllers and airfield operations specialists,32,Na,24,Na,8,Na
TRANSPORTATION,Flight attendants,63,846,20,Na,43,Na
TRANSPORTATION,"Ambulance drivers and attendants, except emergency medical technicians",18,Na,14,Na,4,Na
TRANSPORTATION,Bus drivers,323,615,184,681,138,572
TRANSPORTATION,Driver/sales workers and truck drivers,2687,747,2582,751,105,632
TRANSPORTATION,Taxi drivers and chauffeurs,253,585,216,600,38,Na
TRANSPORTATION,"Motor vehicle operators, all other",21,Na,18,Na,3,Na
TRANSPORTATION,Locomotive engineers and operators,44,Na,42,Na,2,Na
TRANSPORTATION,"Railroad brake, signal, and switch operators",5,Na,5,Na,0,Na
TRANSPORTATION,Railroad conductors and yardmasters,55,1117,52,1137,4,Na
TRANSPORTATION,"Subway, streetcar, and other rail transportation workers",15,Na,12,Na,3,Na
TRANSPORTATION,Sailors and marine oilers,10,Na,9,Na,0,Na
TRANSPORTATION,Ship and boat captains and operators,29,Na,28,Na,1,Na
TRANSPORTATION,Ship engineers,5,Na,4,Na,1,Na
TRANSPORTATION,Bridge and lock tenders,4,Na,4,Na,0,Na
TRANSPORTATION,Parking lot attendants,57,492,49,Na,8,Na
TRANSPORTATION,Automotive and watercraft service attendants,63,452,58,470,5,Na
TRANSPORTATION,Transportation inspectors,21,Na,14,Na,7,Na
TRANSPORTATION,"Transportation attendants, except flight attendants",17,Na,9,Na,8,Na
TRANSPORTATION,Other transportation workers,39,Na,35,Na,4,Na
TRANSPORTATION,Conveyor operators and tenders,7,Na,7,Na,0,Na
TRANSPORTATION,Crane and tower operators,75,988,71,1016,4,Na
TRANSPORTATION,"Dredge, excavating, and loading machine operators",25,Na,25,Na,0,Na
TRANSPORTATION,Hoist and winch operators,5,Na,5,Na,0,Na
TRANSPORTATION,Industrial truck and tractor operators,579,609,541,612,37,Na
TRANSPORTATION,Cleaners of vehicles and equipment,222,485,200,498,22,Na
TRANSPORTATION,"Laborers and freight, stock, and material movers, hand",1433,526,1214,547,219,455
TRANSPORTATION,Machine feeders and offbearers,30,Na,21,Na,9,Na
TRANSPORTATION,"Packers and packagers, hand",385,438,158,462,227,424
TRANSPORTATION,Pumping station operators,18,Na,17,Na,1,Na
TRANSPORTATION,Refuse and recyclable material collectors,72,501,66,496,6,Na
TRANSPORTATION,Mine shuttle car operators,0,Na,0,Na,0,Na
TRANSPORTATION,"Tank car, truck, and ship loaders",6,Na,6,Na,0,Na
TRANSPORTATION,"Material moving workers, all other",37,Na,32,Na,5,Na
