code,title,description,prereqs,credits,prereq_type,area
CMSC754 , Computational Geometry ," Introduction to algorithms and data structures for computational problems in discrete geometry (for points, lines, and polygons) primarily in two and three dimensions. Topics include triangulations and planar subdivisions, geometric search and intersection, convex hulls, Voronoi diagrams, Delaunay triangulations, line arrangements, visibility, and motion planning. ", CMSC451 and CMSC420; or permission of instructor. ,3,Flexible,CMSC
CMSC764 , Advanced Numerical Optimization , Modern numerical methods for solving unconstrained and constrained nonlinear optimization problems in finite dimensions. Design of computational algorithms and the analysis of their properties. , MATH410; or permission of instructor.  Jointly offered wit h AMSC607.   ,3,Flexible,CMSC
CMSC773 , Computational Linguistics II ," Natural language processing with a focus on corpus-based statistical techniques. Topics inlcude: stochastic language modeling, smoothing, noisy channel models, probabilistic grammars and parsing; lexical acquisition, similarity-based methods, word sense disambiguation, statistical methods in NLP applications; system evaluation. "," CMSC723, INST735, or LING723; or permission of instructor.   ",3,Flexible,CMSC
CMSC800 , How to Conduct Great Research , Develop research skills so as to promote high quality and high impact. , None ,1,None,CMSC
COMM200 , Critical Thinking and Speaking ," Theory and practice of persuasive discourse analysis and composition. Research techniques, logical and rhetorical conceptions of argument, and technical principles for persuading in public venues. ", None ,3,None,COMM
COMM331 , News Writing and Reporting for Public Relations , Writing and researching news and information media for public relations; laboratory in news-gathering tools and writing techniques for public relations. , COMM201; and must have completed or be concurrently enrolled in JOUR181.   ,3,Flexible,COMM
COMM332 , News Editing for Public Relations ," Copy editing, graphic principles and processes, news and information technologies for public relations. ", Minimum grade of C- in COMM331; or students who have taken courses with comparable content may contact the department. And permission of ARHU-Communication department.   ,3,Flexible,COMM
COMM351 , Public Relations Techniques ," The techniques of public relations, including news releases, publications and printed materials, audio-visual techniques, speeches and special events. Application of these techniques in laboratory and field projects. ", COMM332.   ,3,Hard,COMM
COMM353 , New Media Writing for Public Relations , Students learn the uses and influence of new media on public relations practice and expand their ability to write using new and traditional media platforms and tools , Minimum grade of C- in COMM351.   ,3,Hard,COMM
COMM370 , Mediated Communication ," Analysis and critique of structure, performance, content, effects, and future of mediated communication. ", COMM250.   ,3,Hard,COMM
COMM371 , Communication and Digital Media ," A basic introduction to communication in the digital age. Through class lectures, assignments and projects, students will learn to effectively use new media for the purpose of strategic message creation and management used in the field of communication. Students will apply the basics of visual layout skills and the principles of visual design to create messages using words and images. ", None ,3,None,COMM
COMM374 , Communicating Visually: Message Production and Digital Media ," Focus on the interplay between technology, images and sound in the creation of digital content. This is a communication process by which a digital visual message evolves from conception to completion, incorporating the creative, financial and marketing tools. Students will conceive, plan, recruit and supervise digital video projects, developing a familiarity with production management technique and execution. ", None ,3,None,COMM
COMM376 , Communication through Advocacy Short Film , Explores the theory and practice of contemporary communication and advocacy short form video. , None ,3,None,COMM
COMM382 , Essentials of Intercultural Communication , Introduction of major theories and concepts of intercultural communication; examination of processes that make up cultural differences; and use of intercultural communication competence skills. , None ,3,None,COMM
COMM386 , Experiential Learning , Supervised internship experience with communication professionals. Relation of academic training to professional experience. , Permission of ARHU-Communication department.  ,3,Hard,COMM
COMM400 , Research Methods in Communication ," Philosophy of scientific method; role of theory; research ethics; empirical research methods (measurement, sampling, design, analysis). ", COMM250; and must have an introductory course in statistics.   ,3,Flexible,COMM
COMM401 , Interpreting Strategic Discourse , Principles and approaches for practical analysis of discourse designed to shape audience opinion. , COMM250.   ,3,Hard,COMM
COMM402 , Communication Theory and Process , Philosophical and conceptual analysis of communication theories. , COMM250.   ,3,Hard,COMM
COMM426 , Conflict Management , Role of communication in managing conflict processes. , None ,3,None,COMM
COMM427 , Crisis Communication ," Explores theories and research related to communication before, during, and after a crisis. Students examine the fundamentals of organizational communication, crisis management, and strategic and crisis communication planning before examining case studies of a number of real-life crises: organizational crises, natural disasters, accidents, terrorism incidents, health crises, and major crises of credibility. ", None ,3,None,COMM
COMM436 , Interpersonal Arguing , An examination of face to face arguing. , COMM400 and COMM250.   ,3,Hard,COMM
COMM450 , Ancient and Medieval Rhetorical Theory ," A survey of rhetorical theory in the ancient and medieval periods. Emphasis is placed on the theoretical problems that gave rise to its development within both periods. Authors include Isocrates, Plato, Aristotle, Cicero, Quintilian, Hermogenes, Martianus Capella, Aurelius Augustine, Alberic of Monte Cassino, Geoffrey of Vinsauf and Robert of Basevorn. ", COMM250.   ,3,Hard,COMM
COMM454 , Rhetoric of the 1960s ," Study of key rhetoric of the 1960s. Treats rhetoric of relevant Presidents and several protest movements including civil rights, anti-war, and women's liberation. Contrasts traditional modes of argument with alternative rhetorical forms. ", COMM401; or permission of ARHU-Communication department.  ,3,Flexible,COMM
COMM483 , Senior Seminar in Public Relations ," Integration of theory, techniques and research methods into the planning and execution of public relations campaigns for specific organizations. Analysis of research on the case studies of public relations. ", COMM351 and COMM400.   ,3,Hard,COMM
COMM601 , Historical-Critical Research in Communication , Intense study in critical and historical methodology as applicable to research in communication. Emphasis will be placed on the composition and the evaluation of historical-critical studies of significance in the field of rhetorical communication scholarship. , None ,3,None,COMM
COMM606 , Seminar in Communication Management ," Communication and public relations as a managed function of organizations are introduced. Students learn how managing communication contributes to organizational effectiveness. Using organizational theory, theories of Excellence in public relations and communication management, communication metrics and communication ethics, students build their communication strategic management skills beyond the programmatic level to the functional and organizational levels of decision-making. ", None ,3,None,COMM
COMM633 , Global Public Relations ," Application of principles of public relations to countries or regions with different cultures, political systems, economic systems, levels of development, media systems, and levels of activism. ", None ,3,None,COMM
COMM637 , Professional Practice Forum in Translation: Career Portfolio and Exams ," Serves as final preparation for entry into the profession through development of career portfolio to meet summative degree requirement and development of strategies for gaining work as a professional translator. Prepares participants for degree examinations and employer tests through the review of previous exam material and employer testing requirements. Serves as venue for degree examinations, career goal setting and planning for future employment. Participants present and defend career portfolio as summative requirement for MA in translation; MA in Trans. and Localization Project. ", Admissions test for second year courses; and (COMM659 and COMM679); and permission of ARHU-Communication department. ,1,Flexible,COMM
COMM655 , Seminar in Speechwriting , Theoretical and practical aspects of speechwriting at an advanced level. , None ,3,None,COMM
COMM657 , Professional Practice Forum in Interpreting: Career Portfolio and Exams ," Serves as final preparation for entry into the profession through development of strategies for gaining work as a professional translator. Prepares participants for degree examinations and employer tests through the review of previous exam material and employer testing requirements. Serves as venue for degree examinations, career goal setting and planning for future employment. Participants present and defend career portfolio and summative requirement for degree. "," COMM719, COMM769, and COMM729; and admissions test for second-year courses; and permission of ARHU-Communication department. ",1,Flexible,COMM
COMM701 , Quantitative Methods in Communication Research ," Logic and methods of quantitative data collection and statistical analysis as applied to communication studies. Research strategies for communications: experimentation, survey research, field research, and content analysis. ", COMM700.   ,3,Hard,COMM
COMM710 , Translation and Localization Project Management ," Introduces basic principles of project management in the translation industry based upon globalization and localization processes for software, websites, and other translation-driven products. Focuses on information technology and workflow in large-scale multilingual projects. Examines planning, execution, and evaluation processes grounded in best practices and standards of the translation and localization industry. ", Admissions test for second year courses; and permission of ARHU-Communication department. ,3,Flexible,COMM
COMM724 , Seminar in Organizational Communication ," Theories and problems of human communication within, between, and/or among formal organizations will be emphasized. ", None ,3,None,COMM
COMM760 , Seminar in Political Communication , A blend of theory and practice to integrate rhetorical-critical theory and empirical methods with politics. Practitioners in political communication will be drawn in as resource persons. Students will map the communication strategy for candidates and analyze actual campaign strategies. , None ,3,None,COMM
COMM775 , Seminar in Persuasion and Attitude Change , This seminar will concentrate on the problem of making message strategy decisions. Course content will consist of study of both theoretical and empirical research on attitude and attitude change in persuasive communication. , Permission of ARHU-Communication department.   ,3,Hard,COMM
ECON200 , Principles of Microeconomics , Introduces economic models used to analyze economic behavior by individuals and firms and consequent market outcomes. Applies conceptual analysis to several policy issues and surveys a variety of specific topics within the broad scope of microeconomics. , MATH107 or MATH110; or must have math eligibility of MATH113 or higher.   ,3,Flexible,ECON
ECON201 , Principles of Macroeconomics ," An introduction to how market economies behave at the aggregate level. The determination of national income/output and the problems of unemployment inflation, will be examined, along with monetary and fiscal policy. ", MATH107 or MATH110; or must have math eligibility of MATH113 or higher.   ,3,Flexible,ECON
ECON230 , Applied Economic Statistics ," Introductory course to develop understanding of statistical concepts used in applied economics. Students will acquire skills needed to calculate and interpret statistical concepts, including descriptive statistics, probability, discrete and continuous distributions, sampling, point and interval estimations, hypothesis testing, basic analysis of variance, and simple linear regression models.  Students will apply these concepts to data using both handheld calculators and spreadsheets(Excel), and students will be introduced to an econometric software package such as SPSS or SAS or R. "," Must have math eligibility of MATH113 or higher; or 1 course with a minimum grade of C- from (MATH107, MATH110). And minimum grade of C- in ECON200 and ECON201.   ",3,Flexible,ECON
ECON305 , Intermediate Macroeconomic Theory and Policy ," Analysis of the determination of national income, employment, and price levels. Discussion of consumption, investment, inflation, and government fiscal and monetary policy. "," Minimum grade of C- in ECON201 and ECON200. And 1 course with a minimum grade of C- from (MATH120, MATH130, MATH136, MATH140); or must have completed MATH220 with a minimum grade of C-.   ",3,Flexible,ECON
ECON306 , Intermediate Microeconomic Theory & Policy ," Analysis of the theories of consumer behavior, producer behavior, different market structures, and various sources of inefficient outcomes.  Analysis of microeconomic policies designed to improve market outcomes. "," 1 course with a minimum grade of C- from (ECON200, AREC250); and minimum grade of C- in ECON201. And 1 course with a minimum grade of C- from (MATH120, MATH130, MATH136, MATH140); or must have completed MATH220 with a minimum grade of C-.   ",3,Flexible,ECON
ECON311 , American Economic History Before the Civil War ," Economic concepts are used to analyze various aspects of the founding and early history of the U.S., including the British settlement of the North American colonies, the economics of the American Revolutionary war, the writing of the Constitution, the development of financial markets, policies on public lands and the spread of western agriculture, slavery, banking, and early industrialization. ", Minimum grade of C- in ECON200 and ECON201.   ,3,Hard,ECON
ECON312 , American Economics After the Civil War ," Topics include: the economics of the Civil War, the performance of southern agriculture in the late 19th century, the rise of large corporations, industrialization, the development of financial markets, the creation of the Federal Reserve Board, the economics of the Great Depression and the New Deal, the economic impact of World War II, and the rise of the modern service economy in the late 20th century. ", Minimum grade of C- in ECON200 and ECON201.   ,3,Hard,ECON
ECON315 , Economic Development of Underdeveloped Areas ," Analysis of the economic and social characteristics of underdeveloped areas. Recent theories of economic development, obstacles to development, policies and planning for development. ", Minimum grade of C- in ECON200 and ECON201.   ,3,Hard,ECON
ECON317 , Global Economic Policies ," Analysis of policy options and debates on fostering economic growth and development in a global economy where national boundaries are no longer relevant. Topics covered will include real loanable funds markets in both local and international contexts during normal conditions and during financial crises, the design of trade and industrial policies, and the role of the World Bank, IMF, WTO, and other international agencies as well as regional and bilateral trade agreements. Emerging economies will be emphasized. ", Minimum grade of C- in ECON200 and ECON201.   ,3,Hard,ECON
ECON321 , Economic Statistics ," Introduction to the use of statistics in economics. Topics include: Probability, random variables and their distributions, sampling theory, estimation, hypothesis testing, analysis of variance, regression analysis and correlation. ", Minimum grade of C- in ECON201 and ECON200; and minimum grade of C- in MATH141.   ,3,Hard,ECON
ECON325 , Intermediate Macroeconomic Analysis ," Analysis of macroeconomic behavior and policy with emphasis on theoretical rigor. Topics include the determinants of economic growth, unemployment, inflation, and international economic flows. "," Minimum grade of C- in ECON200, ECON201, and MATH141.  ",3,Hard,ECON
ECON326 , Intermediate Microeconomic Analysis ," Analysis of economic decision-making by individual buyers and sellers, and resulting market outcomes, with emphasis on theoretical rigor. The efficient properties of perfect competition are examined, followed by consideration of market power, externalities, and asymmetric information. "," Minimum grade of C- in ECON200, ECON201, and MATH141.  ",3,Hard,ECON
ECON330 , Money and Banking ," The structure of financial institutions and their role in the provision of money and near money.  Analysis of the Federal Reserve System, the techniques of central banks, and the control of supply of financial assets in stabilization policy.  Relationship of money and credit to economic activity and the price level. ", Minimum grade of C- in ECON200 and ECON201. ,3,Hard,ECON
ECON386 , Experiential Learning ," See Department Advising Office for course eligibility, course requirements, and application information. ", ECON201 and ECON200.   ,3,Hard,ECON
ECON387 , Career Preparation for Economics Majors ," Increase student knowledge of career paths, job search tools, and strategies for successfully obtaining a job with a BA or BS in economics. Students will engage in a range of different activities which build their understanding of job opportunities in economics and hone their abilities to find positions they want. Students will reflect on specific skills employers seek from economics graduates and incorporate that knowledge in their own individual job search and career plan. "," 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326).  ",2,Hard,ECON
ECON397 , Honors Thesis , General supervision will be provided through assembled meetings with the professor in charge of the course. , ECON396.   ,3,Hard,ECON
ECON401 , Current Issues in American Economic Policy ," Analysis of current economic problems and public policies. Topics could include poverty, income inequality, social insurance, education, environmental sustainability, immigration, and innovation. Other issues may be substituted depending on current events. "," 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON424, ECON422).   ",3,Hard,ECON
ECON402 , Macroeconomic Models and Forecasting , Analysis of the fluctuations in economic activity and the formulation and use of forecasting models of the economy. Illustrations of computer macro models and forecasting problems. ," 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).   ",3,Hard,ECON
ECON406 , Advanced Microeconomics ," Expands on the assumptions of rational decision-making used in intermediate microeconomics and develops more complicated, more realistic models which address uncertainty, intertemporal choices, strategic interactions, social preferences and considerations of what is fair. "," Minimum grade of C- in ECON326; and 1 course with a minimum grade of C- from (ECON321, STAT400).   ",3,Hard,ECON
ECON407 , Advanced Macroeconomics ," An in-depth analysis of current issues in macroeconomic theory and policy. Topics covered include: 1. alternative perspectives on macroeconomics including monetarism, new classical equilibrium models, rational expectations, and real business cycle models; 2. long term growth, the slowdown in productivity growth, and concerns about U.S. competitiveness; 3. the effectiveness of macroeconomic policy in an open economy; 4. the effects of finance on the real sector. "," Minimum grade of C- in ECON325; and 1 course with a minimum grade of C- from (ECON321, STAT400).   ",3,Hard,ECON
ECON414 , Game Theory ," Studies the competitive and cooperative behavior that results when several parties find that their individual outcomes are jointly determined. Students will learn how to use game theory to analyze situations of potential conflict. Applications are drawn from economics, business, and political science. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).   ",3,Hard,ECON
ECON416 , Analysis of Economic Development ," Analysis of the determinants and influences on economic development. Emphasis on both theoretical models and econometric methods of explaining why some countries are poor, along with examination of policies to promote development. "," Minimum grade of C- in ECON325, ECON326, and ECON422.  ",3,Hard,ECON
ECON417 , Estimating Policy and Program Impact ," Governments, businesses, non-profits, funders, and other organizations must allocate scarce resources between competing uses. Understanding the causal effect of policies, programs or investments on key outcomes can guide the choices of these decision-makers. Correlations between policies and outcomes or changes in outcomes after new policies are adopted are rarely sufficient for estimating the causal effect, however. This course focuses on econometric strategies for obtaining unbiased causal estimates, including experimental methods, instrumental variables, regression discontinuity, and differences-in-differences. There will be an emphasis on using Stata and on interpreting the results of econometric analysis "," 1 course with a minimum grade of C- from (ECON306, ECON326) and 1 course with a minimum grade of C- from (ECON424, ECON422).  ",3,Hard,ECON
ECON422 , Econometrics I ," Emphasizes the interaction between economic problems and the assumptions employed in statistical theory. Formulation, estimation, and testing of economic models, including single variable and multiple variable regression techniques, theory of identification, and issues relating to inference. "," 1 course with a minimum grade of C- from (ECON325, ECON326); and 1 course with a minimum grade of C- from (STAT400, ECON321).  ",3,Hard,ECON
ECON423 , Econometrics II ," Interaction between economic problems and specification and estimation of econometric models. Topics include issues of autocorrelation, heteroscedasticity, functional form, simultaneous equation models, qualitative choice models, and other computational methods. ", Minimum grade of C- in ECON422.   ,3,Hard,ECON
ECON424 , Applied Econometrics ," Provide the knowledge and skills necessary to accomplish and utilize basic applied econometric analysis utilized by many business service providers, government agencies, and nonprofits engaged in policy analysis. Topics include simple and multiple regressions using cross section, time series, and panel data, issues of heteroskedasticity, serial correlation, and multicollinearity, models with binary dependent variable, and program evaluation. Course emphasizes application of knowledge using software packages but still covers essential theoretical background. "," 1 course with a minimum grade of C- from (ECON305, ECON306, ECON325, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  ",3,Hard,ECON
ECON426 , Economics of Cost-Benefit Analysis ," Study of how to use cost benefit analysis and other similar tools of applied microeconomics to conduct policy analyses. Cost-benefit analysis is an empirical method of identifying an optimal choice from a set of policy alternatives, where optimal is defined in terms of economic efficiency. Real world examples are addressed, so that students understand limitations of the methods and also interactions of economic analysis with political and administrative processes. "," 1 course with a minimum grade of C- from (ECON305, ECON306, ECON325, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).   ",3,Hard,ECON
ECON427 , Experimental Economics ," An introduction to the methodology of experimental economics and its application to issues such as decision-making under uncertainty, auctions, and public goods. Also an introduction to behavioral economics as a relatively new area of economic research. "," Minimum grade of C- in ECON326; and 1 course with a minimum grade of C- from (ECON321, STAT400).   ",3,Hard,ECON
ECON434 , The Economics of Information and Uncertainty ," How do rational agents make decisions when faced with  uncertainty? How do markets and other institutions deal with risks?  How do markets behave when some actors are better informed than others? What incentives influence whether economic decision-makers hide or reveal information? Topics  include the value of information, the purchase of warranties, agency problems in management, adverse selection and moral hazard in insurance, and signaling in education. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).   ",3,Hard,ECON
ECON435 , Financial Markets and the Macroeconomy ," The different types of financial assets that exist, the markets that they trade in, and the determination of their prices and rates of return are examined. Specific topics that will be covered include the Markowitz portfolio selection model, the capital asset pricing model, the arbitrage pricing theory, the efficient markets hypothesis, the term structure of interest rates, and options. There will be almost no emphasis on issues in corporate finance. "," 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).   ",3,Hard,ECON
ECON436 , Financial Econometrics ," An introduction to financial econometrics, which is data science applied to understanding the financial system. Students will learn modern techniques in financial econometrics with an emphasis on the interaction between modeling (theory) and empirical analysis. Topics include relevant economic theory, optimization techniques, probability models, statistical analysis, and use of statistical software. ", Minimum grade of C- in ECON325 and ECON422.   ,3,Hard,ECON
ECON442 , Globalization and Capital Markets ," Uses models of open-economy macroeconomics to explain the causes and consequences of international capital flows. Analysis is made of private consumption, investment, the government sector, current accounts, the labor market, and the money and foreign exchange markets in small open economies. This framework is then used to study examples of how speculative attacks on currencies, sudden reversals of capital inflows, and the effects of the lack of credibility of economic policy affect economic development. "," Minimum grade of C- in ECON326 and ECON325; and 1 course with a minimum grade of C- from (ECON321, STAT400).   ",3,Hard,ECON
ECON443 , International Trade and Trade Policy in the New Global Economy ," Examines the economics of international economic integration, including the theory of customs unions and free trade areas, the role of GATT and the WTO, changes in individual countries' foreign trade policies during the new era of globalization, the special role of multinational firms in world trade, and recent controversies about the benefits and costs of globalized trade. "," 1 course with a minimum grade of C- from (ECON305, ECON325); and 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).   ",3,Hard,ECON
ECON444 , Research in Globalization ," As globalization continues, individual countries must confront a variety of related issues including rising inequality, decline of domestic industries, climate change, and disputes over intellectual property rights. Various economic models and research methods will be covered to develop the analytic and empirical skills needed to perform independent research in globalization.  Students will prepare literature reviews, conduct preliminary empirical investigations using STATA, and produce well-designed research proposals. ", Minimum grade of C- in ECON326 and ECON422.   ,3,Hard,ECON
ECON455 , Economics of Education Policy ," Examines the role that government plays in providing and financing education. Analyzes why people invest in education. Considers the effects of education on long-term social and economic outcomes, the behavior of institutions that produce education, and how to design and implement public policies affecting the level and distribution of educational resources. Uses microeconomic models and empirical findings to analyze current issues in education policy. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).  ",3,Hard,ECON
ECON456 , Law and Economics ," Relationship of the exchange process to the system of institutions and rules that society develops to carry out economic transactions. Topics covered include: Property rights; torts, negligence, and liability; contracts and exchanges; criminal control and enforcement; equity and efficiency issues . "," 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321).   ",3,Hard,ECON
ECON463 , Economics of Sports ," The application of theoretical and empirical economic tools to the sports industry, including competition at professional,collegiate, and international levels. Microeconomic models from labor, industrial organization and public finance will be applied to the sports industry and combined with data from sports markets, providing students with opportunities to produce and interpret economic analysis. The topic of discrimination will also be explored in the context of this particular economic activity. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, BMGT230, ECON321, STAT400).   ",3,Hard,ECON
ECON471 , Labor Markets ," Central topics include the determinants of firms' demand for labor and households' decision making about whether to work, how much to work, and where to work. We will then study the equilibrium amount of labor hired in society and the wages paid to workers. The course will also include the measurement of the labor market, human capital, discrimination, incentives, and current changes in the American economic landscape.  Various economic policies impacting labor markets will be analyzed. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and minimum grade of C- in ECON424.   ",3,Hard,ECON
ECON472 , Economics of Social Safety Nets ," Analysis of the economic issues associated with social safety nets. Topics to be covered include the cash transfer programs for breaking the cycle of poverty, labor market policies aimed at combating unemployment, childhood interventions to improve human capital development, and the challenges faced by pension systems over the world. The approach is based on a life-cycle perspective.  Evidence and experiences from developed and developing countries will covered. "," 1 course with a minimum grade of C- from (ECON306, ECON326); and minimum grade of C- in ECON424.   ",3,Hard,ECON
ECON481 , Environmental Economics , An exploration of the use of economic incentives for protection of the environment and the determination of appropriate (or efficient) level of environmental quality. Also covers the choice of policy instruments for the attainment of environmental standards. ," 1 course with a minimum grade of C- from (AREC326, ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, ECON321, BMGT230).  ",3,Hard,ECON
ECON484 , The Economics of Climate Change ," The role of economics in the formation of climate policy; basic concepts of environmental economics including efficiency, externalities, and policy instruments; economic models of intertemporal decisions and decision making in the face of uncertainty. Applied economic analysis of specific issues and current policy initiatives. "," 1 course with a minimum grade of C- from (AREC326, ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, ECON321, BMGT230).  ",3,Hard,ECON
ECON486 , Energy and Environmental Economics ," Economic theory and empirical methods are used to study problems of energy, the environment, and the economy. It examines the extraction, production, and use of energy and market institutions and regulatory approaches used to correct market failures. Topics covered include: oil and natural gas markets, management and design of electricity markets, renewable energy, non-market valuation , climate change, and transportation policies. "," 1 course with a minimum grade of C- from (AREC326, ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, ECON321, BMGT230).  ",3,Hard,ECON
ECON602 , Macroeconomic Analysis II ," Further issues regarding macroeconomic topics. First half emphasis will be placed on dynamic macroeconomic theory as pertaining to monetary issues, policy ineffectiveness and effectiveness. The second half of the course will focus on theories of investment and growth. ", ECON601; or permission of BSOS-Economics department. ,3,Flexible,ECON
ECON604 , Microeconomic Analysis II ," Analysis of markets and market equilibria; the Arrow-Debreu model of general equilibrium, the two-sector model, welfare theorems, externalities, public goods, markets with incomplete and asymmetric information. ", ECON603.   ,3,Hard,ECON
ECON615 , Development Economics I ," Explore both the causes and consequences in development economics from a historical and scientific approach. Presents theoretical models and applied work that test alternative hypotheses.  Explore models of economic growth and institutions, with emphasis on property rights and political regimes as causal factors affecting development. Discuss empirical methods widely used in the field and important related topics including poverty, inequality, education and health. ", ECON603; or permission of BSOS-Economics department. ,3,Flexible,ECON
ECON624 , Econometrics II ," A continuation of ECON623. Topics include: Nonlinear models and nonlinear estimation methods (generalized method of moments and maximum likelihood estimation), panel data models, univariate dynamic models, multivariate dynamic models including simultaneous equation models, and non-parametric/semiparametric estimation methods. The course will also provide instructions on the use of a major statistical package such as Stata or TSP. ", ECON623; or permission of BSOS-Economics department. ,3,Flexible,ECON
ECON636 , Behavioral Economics ," An exploration of how people make decisions, questioning the concept of ""perfect rationality"" in the standard economic theory, providing improved models in line with the observed biases of decision makers. Focusing on decision making under risk and ambiguity, endowment effect, status quo bias, loss aversion, intertemporal choice, and selfish and pro-social preferences. ", ECON603 and ECON604; and permission of BSOS-Economics department. ,3,Hard,ECON
ECON641 , Microeconomic Analysis ," Microeconomic analysis applied to public policy problems with an emphasis on practical examples and how they illustrate microeconomic theories. Policy issues such as pollution, welfare and income distribution, market design, industry regulation, price controls, tax policy and health insurance are practical examples used to illustrate the abstract principles of microeconomics. ", None ,3,None,ECON
ECON643 , Empirical Analysis I: Foundations of Empirical Research ," Fundamental aspects of data management and interpretation emphasizing sampling, descriptive statistics, index numbers and construction of aggregated variables. Students will learn probability theory, confidence intervals, hypothesis testing and regression analysis using the EXCEL spreadsheet program and STATA statistical software. ", None ,3,None,ECON
ECON644 , Empirical Analysis II: Introduction to Economic Models , An introduction to econometric methods with applications to public policy analysis.  Primary focus on application and interpretation of multiple regression analysis. , ECON643. ,3,Hard,ECON
ECON645 , Empirical Analysis III: Econometric Modeling and Forecasting ," Study of empirical techniques that are particularly relevant to the analysis of microeconomic models. Emphasis is on advanced panel data methods, time series regressions, instrumental variables, limited dependent variables, and sample selection corrections. ", ECON644.   ,3,Hard,ECON
ECON662 , Theories of Industrial Organization ," Dynamic models are important tools to understand intertemporal individual choices and industry evolution. The course discusses a number of issues estimating and solving dynamic models, complimenting and building on the methods and topics introduced in 625. The course also covers models of endogenous product choice, matching and market design. There will be two main sets of assignments, where students simulate data by solving models, estimate models based on simulated or real data and perform counterfactual analyses. The students will also be expected to submit a research proposal. ", ECON604 and ECON603. ,3,Hard,ECON
ECON670 , Financial Economics ," The course applies microeconomic theory and applied econometric techniques to the study of financial institutions and markets for financial assets.  Students will learn how economists model and estimate the value of financial assets.  The economic and empirical models are of interest to public policy makers and private wealth managers.  Specific topics can include financial intermediation, the regulation of financial institutions, risk management, portfolio theory, the capital asset pricing model and the efficient markets hypothesis. ", ECON641; and must have completed or be concurrently enrolled in ECON644.   ,3,Flexible,ECON
ECON673 ," Information, Game Theory and Market Design "," A study of the strategic decision-making and the theory and practice of market design.  Focus is on the design of organized market and incentives created by market rules.  Topics include online auction markets, government auctions procurement auctions and matching markets. The analysis includes documenting the rules of real-world markets, game theoretic analysis, empirical analysis, and experimental work. ", ECON641; and must have completed or be concurrently enrolled in ECON644. ,3,Flexible,ECON
ECON676 , Economic Development ," Analysis of economic development.  The course will focus on the consequences of poverty and poor institutions for the behavior and welfare of individuals, households, firms and the aggregate economy in developing countries.  Theoretical models and empirical evidence will be used to understand the intended and unintended consequences of policies designed to enhance economic development. ", ECON641; and ECON642; and must have completed or be concurrently enrolled in ECON644.   ,3,Flexible,ECON
ECON684 , Applied Time Series Analysis and Forecasting ," This course builds on the brief introduction to time series econometrics offered in ECON 645.  Students will learn the theory of stationary processes and how it applies to econometric techniques for estimation and forecasting based on time series data.  The techniques will be applied in macroeconomic, financial and business applications. ", ECON642; and ECON645.   ,3,Hard,ECON
ECON702 , Advanced Macroeconomics II ," Selected issues in monetary economics with an equal emphasis of learning the models and understanding important issues: a survey of models (cash-in-advance, money-in-the-utility-function, transaction cost, search-based models), empirical issues in monetary economics, business cycles and money, monetary policy, welfare cost of inflation, alternative media of exchange. ", ECON602 and ECON601. ,3,Hard,ECON
ECON704 , Advanced Microeconomics II ," This is the second half of a two-semester sequence in Advanced Microeconomics, intended for second-year Ph.D. students. The course material varies from year-to-year, but currently it focuses on auction theory, matching theory, and the relationship between matching and auction theory. Other topics that are treated in some years include: sequential bargaining under incomplete information; and equilibrium refinements. ", ECON604 and ECON603. ,3,Hard,ECON
ECON722 , Econometrics IV ," Oriented towards micro-econometric methods. Topics covered will be selected from the following: Further discussion of topics covered in ECON624, binary and multinomial response models, censored and truncated regression models, sample selection models, count data models, duration models program evaluation and treatment effects methods, structural econometrics, the identification problem, stratified and clustered samples, spatial/cross sectional dependence models, dynamic panel data models, weak instruments, non-parametric estimation, boot strap and Jack Knife methods, pre-test estimators. ", ECON624; or permission of BSOS-Economics department. ,3,Flexible,ECON
